"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"24,7";"24,8";"24,6";"96,0";"96,0";"95,0";"24,1";"24,1";"23,8";"1008,0";"1008,2";"1006,9";"0,0";"242,0";"2,3";"";"0,0"
"01/01/2025";"0100";"24,6";"24,7";"24,5";"96,0";"97,0";"96,0";"23,9";"24,1";"23,9";"1008,3";"1008,3";"1008,0";"0,8";"247,0";"2,2";"";"0,0"
"01/01/2025";"0200";"24,3";"24,6";"24,3";"96,0";"97,0";"96,0";"23,7";"24,1";"23,7";"1008,4";"1008,6";"1008,3";"0,3";"242,0";"1,8";"";"0,0"
"01/01/2025";"0300";"24,3";"24,4";"24,3";"96,0";"96,0";"96,0";"23,7";"23,8";"23,6";"1008,0";"1008,4";"1008,0";"0,0";"248,0";"1,5";"";"0,0"
"01/01/2025";"0400";"24,3";"24,5";"24,2";"97,0";"97,0";"96,0";"23,8";"23,9";"23,7";"1007,3";"1008,0";"1007,3";"0,0";"248,0";"0,0";"";"0,0"
"01/01/2025";"0500";"24,2";"24,4";"24,2";"97,0";"97,0";"97,0";"23,7";"23,9";"23,7";"1007,2";"1007,3";"1007,1";"0,0";"248,0";"0,7";"";"0,0"
"01/01/2025";"0600";"24,1";"24,3";"24,1";"98,0";"98,0";"97,0";"23,7";"23,9";"23,6";"1006,9";"1007,2";"1006,9";"0,0";"248,0";"0,7";"";"0,0"
"01/01/2025";"0700";"24,2";"24,2";"24,1";"98,0";"98,0";"98,0";"23,8";"23,9";"23,7";"1006,8";"1007,1";"1006,8";"0,0";"248,0";"0,0";"";"0,0"
"01/01/2025";"0800";"24,2";"24,3";"24,2";"98,0";"98,0";"98,0";"23,8";"23,9";"23,8";"1006,7";"1006,9";"1006,7";"0,1";"248,0";"1,0";"";"0,0"
"01/01/2025";"0900";"24,0";"24,2";"23,9";"98,0";"98,0";"98,0";"23,7";"23,8";"23,6";"1007,2";"1007,2";"1006,7";"0,0";"248,0";"0,8";"";"0,2"
"01/01/2025";"1000";"24,5";"24,5";"23,9";"98,0";"98,0";"98,0";"24,2";"24,2";"23,6";"1007,9";"1007,9";"1007,2";"0,2";"242,0";"1,0";"65,20";"0,0"
"01/01/2025";"1100";"27,5";"27,5";"24,5";"90,0";"98,0";"90,0";"25,7";"25,9";"24,2";"1008,3";"1008,3";"1007,9";"1,0";"241,0";"2,3";"618,40";"0,0"
